Second rollout Python call timings, including blocking native calls.
CUDA kernel durations are not measured separately; profiling adds overhead.
         891570 function calls (890447 primitive calls) in 5.500 seconds

   Ordered by: cumulative time
   List reduced from 431 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1401    3.284    0.002    3.287    0.002 {built-in method omni.physx.bindings._physx.fetch_results}
     2806    0.265    0.000    0.413    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/assets/articulation/articulation.py:1869(_apply_actuator_model)
     1401    0.112    0.000    0.112    0.000 {built-in method omni.physx.bindings._physx.simulate}
     2808    0.110    0.000    0.160    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/assets/articulation/articulation_data.py:771(joint_acc)
     2806    0.087    0.000    0.123    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/actuators/actuator_pd.py:117(compute)
     1334    0.087    0.000    0.087    0.000 {built-in method omni.physics.tensors.bindings._physicsTensors.get_friction_data}
     1334    0.065    0.000    0.488    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/sensors/contact_sensor/contact_sensor.py:364(_update_buffers_impl)
     1334    0.062    0.000    0.595    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/sensors/sensor_base.py:354(_update_outdated_buffers)
       71    0.055    0.001    0.098    0.001 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1150(_compute_teacher_observation_features)
     1368    0.051    0.000    0.051    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/sensors/sensor_base.py:184(update)
     2806    0.050    0.000    0.050    0.000 {built-in method omni.physics.tensors.bindings._physicsTensors.set_dof_actuation_forces}
    14559    0.050    0.000    0.050    0.000 {method 'to' of 'torch._C.TensorBase' objects}
    14030    0.044    0.000    0.046    0.000 /home/windsky/isaacsim/extscache/omni.warp.core-1.8.2+lx64/warp/context.py:2935(<lambda>)
     2802    0.043    0.000    0.043    0.000 {built-in method omni.physics.tensors.bindings._physicsTensors.get_dof_velocities}
       65    0.041    0.001    0.064    0.001 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/pregrasp.py:890(compute_fr3_palm_kinematics)
    11248    0.038    0.000    0.049    0.000 /home/windsky/isaacsim/extscache/omni.physics.tensors-107.3.26+107.3.3.lx64.r.cp311.u353/omni/physics/tensors/impl/frontend_torch.py:75(get_tensor_desc)
     1404    0.037    0.000    0.037    0.000 {method 'nonzero' of 'torch._C.TensorBase' objects}
     1401    0.030    0.000    0.034    0.000 /home/windsky/isaacsim/exts/isaacsim.core.simulation_manager/isaacsim/core/simulation_manager/impl/simulation_manager.py:373(get_physics_dt)
     5349    0.030    0.000    0.082    0.000 /home/windsky/isaacsim/extscache/omni.warp.core-1.8.2+lx64/warp/torch.py:194(from_torch)
     1820    0.028    0.000    0.028    0.000 {built-in method torch.isfinite}
      140    0.025    0.000    0.681    0.005 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1541(_read_teacher_contact_forces)
     1334    0.024    0.000    0.024    0.000 {built-in method omni.physics.tensors.bindings._physicsTensors.get_net_contact_forces}
     1335    0.023    0.000    0.095    0.000 /home/windsky/isaacsim/extscache/omni.warp.core-1.8.2+lx64/warp/context.py:5801(launch)
     1403    0.021    0.000    0.021    0.000 {built-in method omni.physics.tensors.bindings._physicsTensors.set_dof_position_targets}
     1403    0.021    0.000    0.021    0.000 {built-in method omni.physics.tensors.bindings._physicsTensors.set_dof_velocity_targets}
       70    0.020    0.000    0.042    0.001 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/rewards.py:60(compute_teacher_reward_terms)
       70    0.020    0.000    0.870    0.012 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1722(_get_dones)
     1334    0.019    0.000    0.275    0.000 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/contact_sensor.py:62(_unpack_contact_buffer_data)
     2806    0.019    0.000    0.036    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/actuators/actuator_base.py:372(_clip_effort)
     1334    0.018    0.000    0.018    0.000 {built-in method omni.physics.tensors.bindings._physicsTensors.get_contact_force_matrix}


