Second rollout Python call timings, including blocking native calls.
CUDA kernel durations are not measured separately; profiling adds overhead.
         887450 function calls (886327 primitive calls) in 5.883 seconds

   Ordered by: cumulative time
   List reduced from 427 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    424/1    0.003    0.000    5.884    5.884 /home/windsky/miniconda3/envs/grasp/lib/python3.11/site-packages/torch/utils/_contextlib.py:113(decorate_context)
        1    0.010    0.010    5.884    5.884 /home/windsky/project/Grasp/scripts/train_teacher.py:599(run_rollout)
       70    0.011    0.000    5.741    0.082 /home/windsky/IsaacLab/source/isaaclab/isaaclab/envs/direct_rl_env.py:333(step)
     1401    0.006    0.000    3.481    0.002 /home/windsky/IsaacLab/source/isaaclab/isaaclab/sim/simulation_context.py:541(step)
     1401    0.002    0.000    3.454    0.002 /home/windsky/isaacsim/exts/isaacsim.core.api/isaacsim/core/api/simulation_context/simulation_context.py:672(step)
     1401    0.003    0.000    3.450    0.002 /home/windsky/isaacsim/exts/isaacsim.core.api/isaacsim/core/api/physics_context/physics_context.py:563(_step)
     1401    3.312    0.002    3.316    0.002 {built-in method omni.physx.bindings._physx.fetch_results}
       70    0.019    0.000    0.762    0.011 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1722(_get_dones)
     1402    0.015    0.000    0.731    0.001 /home/windsky/IsaacLab/source/isaaclab/isaaclab/scene/interactive_scene.py:479(update)
       70    0.001    0.000    0.696    0.010 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1712(_update_teacher_step_data)
     1403    0.005    0.000    0.672    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/scene/interactive_scene.py:465(write_data_to_sim)
     2806    0.016    0.000    0.631    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/assets/articulation/articulation.py:218(write_data_to_sim)
       70    0.000    0.000    0.604    0.009 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1684(_update_teacher_contact_step_data)
       70    0.004    0.000    0.591    0.008 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1565(_accumulate_teacher_contact_substep)
      140    0.023    0.000    0.584    0.004 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1541(_read_teacher_contact_forces)
    26638    0.563    0.000    0.563    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/sensors/sensor_base.py:184(update)
     1334    0.002    0.000    0.557    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/sensors/contact_sensor/contact_sensor.py:104(data)
     1334    0.056    0.000    0.555    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/sensors/sensor_base.py:354(_update_outdated_buffers)
     1334    0.057    0.000    0.456    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/sensors/contact_sensor/contact_sensor.py:364(_update_buffers_impl)
     2806    0.246    0.000    0.382    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/assets/articulation/articulation.py:1869(_apply_actuator_model)
